Time: 2025-06-09 04:00:00 | CO₂ Level: 400 ppm
Time: 2025-06-09 05:00:00 | CO₂ Level: 410 ppm
Time: 2025-06-09 06:00:00 | CO₂ Level: 430 ppm
Time: 2025-06-09 07:00:00 | CO₂ Level: 460 ppm
Time: 2025-06-09 08:00:00 | CO₂ Level: 490 ppm
Time: 2025-06-09 09:00:00 | CO₂ Level: 520 ppm
Time: 2025-06-09 10:00:00 | CO₂ Level: 500 ppm
Time: 2025-06-09 11:00:00 | CO₂ Level: 470 ppm
Time: 2025-06-09 12:00:00 | CO₂ Level: 450 ppm
Time: 2025-06-09 13:00:00 | CO₂ Level: 440 ppm
Time: 2025-06-09 14:00:00 | CO₂ Level: 445 ppm
Time: 2025-06-09 15:00:00 | CO₂ Level: 455 ppm
Time: 2025-06-09 16:00:00 | CO₂ Level: 470 ppm
Time: 2025-06-09 17:00:00 | CO₂ Level: 495 ppm
Time: 2025-06-09 18:00:00 | CO₂ Level: 540 ppm
Time: 2025-06-09 19:00:00 | CO₂ Level: 560 ppm
Time: 2025-06-09 20:00:00 | CO₂ Level: 580 ppm
Time: 2025-06-09 21:00:00 | CO₂ Level: 560 ppm
Time: 2025-06-09 22:00:00 | CO₂ Level: 520 ppm
Time: 2025-06-09 23:00:00 | CO₂ Level: 480 ppm
Time: 2025-06-10 00:00:00 | CO₂ Level: 450 ppm
Time: 2025-06-10 01:00:00 | CO₂ Level: 430 ppm
Time: 2025-06-10 02:00:00 | CO₂ Level: 420 ppm
Time: 2025-06-10 03:00:00 | CO₂ Level: 410 ppm
Time: 2025-06-10 04:00:00 | CO₂ Level: 400 ppm
Time: 2025-06-10 05:00:00 | CO₂ Level: 410 ppm
Time: 2025-06-10 06:00:00 | CO₂ Level: 430 ppm
Time: 2025-06-10 07:00:00 | CO₂ Level: 465 ppm
Time: 2025-06-10 08:00:00 | CO₂ Level: 495 ppm
Time: 2025-06-10 09:00:00 | CO₂ Level: 520 ppm
Time: 2025-06-10 10:00:00 | CO₂ Level: 500 ppm
Time: 2025-06-10 11:00:00 | CO₂ Level: 470 ppm
Time: 2025-06-10 12:00:00 | CO₂ Level: 450 ppm
Time: 2025-06-10 13:00:00 | CO₂ Level: 440 ppm
Time: 2025-06-10 14:00:00 | CO₂ Level: 445 ppm
Time: 2025-06-10 15:00:00 | CO₂ Level: 455 ppm
Time: 2025-06-10 16:00:00 | CO₂ Level: 470 ppm
Time: 2025-06-10 17:00:00 | CO₂ Level: 500 ppm
Time: 2025-06-10 18:00:00 | CO₂ Level: 545 ppm
Time: 2025-06-10 19:00:00 | CO₂ Level: 565 ppm
Time: 2025-06-10 20:00:00 | CO₂ Level: 585 ppm
Time: 2025-06-10 21:00:00 | CO₂ Level: 565 ppm
Time: 2025-06-10 22:00:00 | CO₂ Level: 525 ppm
Time: 2025-06-10 23:00:00 | CO₂ Level: 485 ppm
Time: 2025-06-11 00:00:00 | CO₂ Level: 455 ppm
Time: 2025-06-11 01:00:00 | CO₂ Level: 435 ppm
Time: 2025-06-11 02:00:00 | CO₂ Level: 425 ppm
Time: 2025-06-11 03:00:00 | CO₂ Level: 415 ppm